 ,Area,Mean,Min,Max,Angle,Skew,Kurt,%Area,Length
1,984.108,91.739,81.802,105.000,63.435,0,0,0,133.050
2,1139.493,92.639,85.000,104.333,62.241,0,0,0,150.199
3,776.927,95.829,87.469,101.667,68.962,0,0,0,103.350
4,880.517,104.611,99.764,116.444,60.255,0,0,0,116.046
5,1035.903,109.569,99.333,124.178,62.103,0,0,0,137.475
6,673.337,102.848,95.870,111.000,55.008,0,0,0,86.496
7,1087.698,111.285,99.413,119.667,63.435,0,0,0,143.778
8,1035.903,110.704,102.777,127.667,71.565,0,0,0,136.551
9,1035.903,113.915,100.642,125.667,66.038,0,0,0,135.451
10,776.927,118.009,107.000,142.333,67.380,0,0,0,98.912
11,984.108,117.722,105.623,132.000,59.036,0,0,0,126.760
12,1087.698,113.949,104.173,131.000,66.038,0,0,0,141.762
13,984.108,114.362,102.383,126.667,63.435,0,0,0,128.742
14,1035.903,113.090,100.208,138.667,66.038,0,0,0,137.392
15,517.951,114.279,107.358,123.222,63.435,0,0,0,64.371
16,984.108,114.012,105.185,138.000,70.560,0,0,0,132.008
17,880.517,119.307,107.333,126.333,70.346,0,0,0,112.316
18,932.313,119.274,112.971,131.000,73.610,0,0,0,125.940
19,1139.493,120.699,109.877,133.333,67.166,0,0,0,148.813
20,1191.288,118.592,110.744,126.432,59.931,0,0,0,157.164
21,1243.083,118.824,105.221,133.093,61.189,0,0,0,163.129
22,621.542,116.078,108.757,121.441,68.199,0,0,0,75.862
23,1191.288,122.680,115.427,133.003,63.435,0,0,0,160.927
24,1087.698,120.618,106.300,136.000,63.435,0,0,0,145.923
25,1243.083,121.029,112.451,131.748,61.189,0,0,0,165.441
26,1553.854,117.427,106.292,130.735,59.036,0,0,0,210.672
27,1139.493,122.979,113.063,137.667,60.945,0,0,0,148.193
28,1139.493,118.901,107.743,131.305,59.931,0,0,0,154.728
29,1035.903,118.631,111.022,125.862,62.103,0,0,0,135.196
30,1294.879,124.350,113.111,140.889,55.008,0,0,0,175.698
31,1139.493,124.866,111.336,135.258,60.945,0,0,0,148.193
32,1087.698,124.191,120.000,133.427,72.474,0,0,0,141.111
33,1709.240,114.677,103.269,127.025,71.565,0,0,0,227.585
34,1087.698,119.164,107.000,128.987,67.166,0,0,0,146.160
35,932.313,125.360,116.175,143.556,69.444,0,0,0,124.746
36,1243.083,121.866,113.178,136.111,67.751,0,0,0,167.584
37,1087.698,123.621,112.767,142.667,72.474,0,0,0,147.180
38,1398.469,121.731,112.769,134.590,72.255,0,0,0,188.162
