Filename,33000x_m.tif,17500x_j.tif,9700x_m.tif,9700x_m.tif,9700x_m.tif,7400x_r.tif,7400x_l.tif,7400x_k.tif
C90,83.152,0.050,130.343,200.125,180.092,148.003,159.649,164.117
C91,83.105,0.050,129.462,198.765,179.784,148.113,159.798,163.058
C92,83.057,0.050,128.581,197.405,179.476,148.223,159.948,161.999
C93,83.010,0.051,127.699,196.044,179.168,148.333,160.097,160.940
C94,82.963,0.051,126.818,194.684,178.860,148.443,160.247,160.525
C95,82.916,0.051,125.937,193.324,178.552,148.552,160.396,161.709
C96,82.868,0.051,125.055,191.964,178.244,148.662,160.546,162.894
C97,82.821,0.051,124.174,190.377,177.936,148.772,160.695,164.078
C98,82.774,0.051,123.293,188.600,177.628,148.882,160.845,165.263
C99,82.727,0.051,122.412,186.823,177.320,148.992,160.994,166.448
C100,82.679,0.051,121.530,185.046,177.012,149.102,161.143,167.632
C101,82.632,0.051,120.649,183.269,176.704,149.212,161.293,168.817
C102,82.585,0.051,119.768,181.493,176.396,149.322,161.442,170.001
C103,82.538,0.051,118.886,179.716,176.088,149.432,161.592,171.186
C104,82.490,0.051,118.005,177.939,175.780,149.542,161.741,172.371
C105,82.443,0.051,117.124,176.162,175.472,149.651,161.891,173.555
C106,82.396,0.052,116.242,174.385,175.164,149.761,162.040,174.740
C107,82.348,0.052,115.361,172.609,174.856,149.871,162.190,175.924
C108,82.301,0.052,114.480,170.832,174.548,149.981,162.339,177.109
C109,82.254,0.052,113.598,169.055,174.240,149.190,162.488,178.294
C110,82.159,0.052,112.717,167.278,173.932,148.223,162.638,179.478
C111,82.046,0.052,111.836,165.501,173.624,147.256,162.787,180.663
C112,81.933,0.052,110.954,163.725,173.316,146.289,162.937,181.847
C113,81.820,0.052,110.073,161.948,173.008,145.322,163.086,183.032
C114,81.706,0.052,109.192,160.171,172.700,144.354,163.236,184.216
C115,81.593,0.052,108.310,158.394,172.392,143.387,163.385,185.401
C116,81.480,0.052,107.429,156.617,172.084,142.420,163.534,186.586
C117,81.367,0.052,106.548,156.003,171.776,141.453,163.684,187.770
C118,81.254,0.052,105.667,157.129,171.468,140.486,163.833,188.955
C119,81.140,0.052,104.785,158.255,171.160,139.519,163.983,190.139
C120,81.027,0.053,103.904,159.381,170.852,138.551,164.132,191.324
C121,80.914,0.053,103.023,160.507,170.544,137.584,164.282,192.509
C122,80.801,0.053,102.141,161.633,170.237,136.617,164.431,193.693
C123,80.687,0.053,101.260,162.759,169.929,135.650,164.581,194.878
C124,80.574,0.053,100.379,163.885,169.621,134.683,164.730,196.062
C125,80.461,0.053,99.497,165.011,169.313,133.716,164.879,197.247
C126,80.348,0.053,99.561,166.137,169.005,132.749,164.796,198.431
C127,80.235,0.053,99.728,167.263,168.632,131.781,164.630,199.616
C128,80.121,0.053,99.895,168.389,167.881,130.814,164.464,200.801
C129,80.008,0.053,100.061,169.515,167.129,129.847,164.299,201.985
C130,79.895,0.053,100.228,170.641,166.378,128.880,164.133,203.170
C131,79.782,0.053,100.395,171.767,165.626,127.913,163.967,204.354
