Filename,9700x_s.tif,7400x_r.tif,7400x_r.tif,7400x_h.tif,74oox_g.tif
C138,75.112,40.212,378.879,144.899,255.470
C139,74.695,38.572,378.611,143.794,256.294
C140,74.277,36.932,378.343,142.689,257.118
C141,73.860,35.292,378.076,141.584,257.942
C142,73.443,33.651,377.808,140.479,257.411
C143,73.025,32.011,377.541,139.374,256.460
C144,72.608,30.371,377.273,138.269,255.509
C145,72.190,28.731,377.005,137.164,254.558
C146,71.773,27.091,376.738,136.059,253.607
C147,71.356,25.451,376.470,134.955,252.656
C148,70.938,23.811,376.203,133.850,251.705
C149,70.521,22.171,375.935,132.745,250.754
C150,70.104,20.531,375.667,131.640,249.804
C151,69.686,18.891,375.400,130.535,248.853
C152,69.269,17.251,375.132,129.430,247.902
C153,68.851,15.611,374.865,128.325,246.951
C154,68.434,13.970,374.597,127.220,246.000
C155,68.017,12.330,374.329,126.115,245.049
C156,67.599,10.690,374.062,125.010,244.098
C157,67.182,9.050,373.794,123.905,243.147
C158,66.764,7.410,373.527,122.800,242.196
C159,66.347,5.770,373.259,121.695,241.245
C160,65.930,4.130,372.992,120.590,240.294
C161,65.512,2.490,372.724,119.485,239.344
C162,65.095,0.850,372.456,118.380,238.393
C163,64.678,0.790,0.000,117.275,237.442
C164,64.260,2.430,0.000,116.170,236.491
C165,63.843,0.781,0.000,115.065,235.540
C166,63.425,5.638,0.000,113.960,234.589
C167,63.008,12.057,0.000,112.855,233.638
C168,62.591,15.886,0.000,111.751,232.687
C169,62.173,16.212,0.000,110.727,231.736
C170,61.756,16.538,0.000,110.201,230.785
C171,61.338,16.864,0.000,109.676,229.834
C172,60.921,17.191,0.000,109.150,228.884
C173,60.504,17.517,0.000,108.625,227.933
C174,60.086,17.843,0.000,108.099,226.982
C175,59.669,18.169,0.000,107.574,226.031
C176,59.251,18.496,0.000,107.049,225.080
C177,58.834,18.822,0.000,106.523,224.129
C178,58.417,19.148,0.000,105.998,223.178
C179,57.999,19.474,0.000,105.472,222.227
C180,57.582,19.801,0.000,104.947,221.276
C181,57.165,20.127,0.000,104.421,220.325
C182,56.747,20.453,0.000,103.896,219.375
C183,56.330,20.957,0.000,103.370,218.424
C184,55.912,21.595,0.000,102.845,217.473
C185,55.790,22.233,0.000,102.320,216.522
C186,56.604,22.871,0.000,101.794,215.571
C187,57.417,23.509,0.000,101.269,214.620
C188,58.230,24.147,0.000,100.743,213.669
C189,59.044,24.785,0.000,100.218,212.718
C190,59.857,25.423,0.000,99.692,211.767
C191,60.670,26.060,0.000,99.167,210.816
C192,61.483,26.698,0.000,98.641,209.865
C193,62.297,27.336,0.000,98.116,208.915
C194,63.110,27.974,0.000,97.591,207.964
C195,63.923,28.612,0.000,97.065,207.013
C196,64.737,29.250,0.000,96.540,206.062
C197,65.550,29.888,0.000,96.014,205.111
C198,66.363,30.526,0.000,95.489,204.160
C199,67.177,31.164,0.000,94.963,203.209
C200,67.990,31.801,0.000,94.438,202.258
C201,68.803,32.439,0.000,93.912,201.307
C202,69.616,33.077,0.000,93.162,200.356
C203,70.430,33.715,0.000,92.392,199.405
C204,71.243,34.353,0.000,91.623,198.455
C205,72.056,34.991,0.000,90.853,197.504
C206,72.870,35.629,0.000,90.083,196.553
C207,73.683,36.267,0.000,89.314,195.602
C208,74.496,37.535,0.000,88.544,194.651
C209,75.309,40.239,0.000,87.774,193.700
C210,76.123,44.350,0.000,87.005,192.749
C211,76.936,49.412,0.000,86.235,191.798
C212,77.749,54.474,0.000,85.465,190.847
C213,78.563,59.536,0.000,84.696,189.896
C214,79.376,64.598,0.000,83.926,188.946
C215,80.189,69.660,0.000,83.157,187.995
C216,81.003,74.722,0.000,82.387,187.044
C217,82.498,79.784,0.000,81.617,186.093
C218,84.353,84.846,0.000,80.848,185.142
C219,86.208,89.907,0.000,80.078,184.191
C220,88.062,94.969,0.000,79.308,183.074
C221,89.917,100.031,0.000,78.539,180.549
C222,91.771,105.093,0.000,77.769,178.025
C223,93.626,110.155,0.000,76.999,175.500
C224,95.481,115.217,0.000,76.230,172.975
C225,97.335,120.279,0.000,75.460,170.451
C226,99.190,125.341,0.000,74.690,167.926
C227,101.044,130.403,0.000,73.921,165.401
C228,102.899,135.465,0.000,73.151,162.877
C229,104.754,140.527,0.000,72.381,160.352
C230,106.608,145.589,0.000,71.612,157.827
C231,108.463,150.651,0.000,70.842,155.879
C232,110.317,155.713,0.000,70.073,154.433
C233,112.172,160.774,0.000,69.303,152.986
C234,113.428,162.163,0.000,69.039,151.540
C235,113.040,159.569,0.000,70.240,150.093
C236,112.652,156.974,0.000,71.410,148.647
C237,112.264,154.379,0.000,71.098,147.200
C238,111.876,151.784,0.000,70.786,145.754
C239,111.489,149.190,0.000,70.474,144.307
C240,111.101,146.595,0.000,70.162,142.860
C241,110.713,144.000,0.000,69.850,141.414
C242,110.325,141.405,0.000,69.539,139.967
C243,109.938,141.048,0.000,69.227,138.521
C244,109.550,140.843,0.000,68.915,137.074
C245,109.162,139.427,0.000,68.603,135.628
C246,108.774,136.988,0.000,68.291,134.181
C247,108.387,134.549,0.000,67.979,132.735
C248,107.999,132.110,0.000,67.667,131.288
C249,107.611,129.671,0.000,67.355,129.842
C250,107.223,127.232,0.000,67.043,128.395
C251,106.835,124.793,0.000,66.731,126.949
C252,106.448,122.354,0.000,66.419,125.502
C253,106.060,119.915,0.000,66.108,124.056
C254,105.672,117.476,0.000,65.796,122.609
C255,105.284,115.037,0.000,65.484,121.163
C256,104.897,112.597,0.000,65.172,119.716
C257,104.509,110.158,0.000,64.860,118.270
C258,104.121,107.719,0.000,64.548,116.823
C259,103.733,105.280,0.000,64.236,115.377
C260,103.345,102.841,0.000,63.924,113.930
C261,102.958,100.402,0.000,63.612,112.484
C262,102.570,97.963,0.000,63.300,111.037
