Filename,74oox_ad.tif,74oox_ad.tif,74oox_ad.tif,74oox_ad.tif,5800x_y.tif,5800x_y.tif,7400x_ac.tif,7400x_ac.tif,7400x_ac.tif,7400x_g.tif,7400x_g.tif,7400x_g.tif,7400x_h.tif,7400x_h.tif,7400x_u.tif,7400x_u.tif,7400x_u.tif,7400x_v.tif,7400x_w.tif,7400x_w.tif,7400x_w.tif,9700x_m.tif,9700x_m.tif,9700x_n.tif,9700x_n.tif,9700x_s.tif,13500x_j.tif,13500x_j.tif,13500x_k.tif,13500x_m.tif,13500x_q.tif,17500x_o.tif,17500x_p.tif,33000x_l.tif
C21,89.950,192.637,118.607,613.129,217.871,395.771,236.440,160.636,268.870,51.066,97.153,133.988,520.221,166.062,136.359,37.078,110.924,155.944,160.373,121.841,76.020,39.057,98.660,24.122,44.911,100.408,100.217,21.989,84.133,130.760,59.689,35.231,30.228,46.496
C22,90.017,193.316,118.330,607.612,214.563,394.395,233.017,160.942,270.892,50.823,96.816,133.414,520.376,167.018,133.134,40.137,110.525,160.661,161.912,122.403,73.677,39.027,96.298,24.714,44.968,100.988,99.345,21.365,86.230,129.947,59.505,35.651,30.191,47.765
C23,90.084,193.462,118.053,602.094,211.254,393.020,229.594,161.249,272.913,50.580,96.479,132.839,520.531,167.974,129.910,43.197,110.127,165.378,156.205,122.966,71.335,38.997,93.936,25.305,45.025,101.568,98.472,20.741,85.554,129.134,59.322,36.071,30.154,49.033
C24,88.862,193.270,117.776,596.576,207.946,391.644,226.171,161.556,274.934,50.338,96.143,132.264,520.687,168.929,126.686,46.256,109.728,170.096,150.498,123.528,68.992,38.967,91.574,25.896,45.082,102.147,97.600,20.118,84.164,128.321,59.138,36.492,30.117,50.301
C25,85.888,193.079,117.500,591.059,204.637,390.269,222.748,161.863,274.992,50.095,95.806,131.690,520.842,169.885,123.462,49.281,109.330,174.813,144.792,124.091,66.649,38.937,89.212,26.488,45.140,102.727,96.727,19.494,82.775,127.508,58.954,36.912,30.081,51.570
C26,82.915,192.887,117.223,585.541,201.329,388.893,219.325,162.170,272.612,49.852,95.469,131.115,520.998,170.841,120.237,49.480,108.931,179.530,139.085,124.653,64.306,38.907,86.850,26.147,45.197,103.307,95.854,18.870,81.386,126.695,58.770,37.332,30.044,52.838
C27,79.942,192.695,116.946,580.023,198.020,387.518,215.902,162.476,270.231,49.609,95.133,130.540,521.153,171.796,117.013,49.679,108.533,184.248,133.378,125.216,63.168,38.877,84.488,25.782,45.254,103.886,94.982,18.246,79.997,125.883,58.586,37.752,30.007,54.107
C28,76.968,192.503,116.669,574.506,194.712,386.142,212.479,162.783,267.851,49.366,94.796,129.966,521.308,172.752,113.789,49.878,108.134,188.965,127.671,125.778,64.494,38.847,82.126,25.418,45.311,104.466,94.109,17.622,78.607,125.070,58.402,38.173,29.970,55.172
C29,73.995,192.312,116.392,568.988,191.403,384.767,209.055,163.090,265.470,49.123,94.460,129.391,521.464,173.708,110.564,50.077,107.736,184.929,121.965,126.341,65.821,38.817,79.764,25.053,45.368,105.031,93.237,16.999,77.218,124.257,58.219,38.593,29.934,55.659
C30,71.021,192.120,116.115,563.470,188.095,383.391,205.632,163.397,263.090,48.880,94.123,128.816,521.619,174.663,107.340,50.277,107.337,180.471,116.258,126.903,67.147,38.787,77.402,24.688,45.426,105.312,92.364,16.375,75.829,123.444,58.035,39.013,29.897,56.146
